#STATE  ENERGY(cm^{-1})  SPIN
 
     755:    -34.296954  13.00
     756:     74.684766  11.00
     757:     74.684766  11.00
     758:     74.684766  11.00
     759:     74.684766  11.00
     760:     74.684766  11.00
     761:     74.684766  11.00
     762:     74.684766  11.00
     763:     74.684766  11.00
     764:     74.684766  11.00
     765:     74.684766  11.00
     766:     74.684766  11.00
     767:    134.169156  11.00
     768:    134.169156  11.00
     769:    134.169156  11.00
     770:    134.169156  11.00
     771:    134.169156  11.00
     772:    134.169156  11.00
     773:    134.169156  11.00
     774:    134.169156  11.00
     775:    134.169156  11.00
     776:    134.169156  11.00
     777:    134.169156  11.00
     778:    196.208826  11.00
     779:    196.208826  11.00
     780:    196.208826  11.00
     781:    196.208826  11.00
     782:    196.208826  11.00
     783:    196.208826  11.00
     784:    196.208826  11.00
     785:    196.208826  11.00
     786:    196.208826  11.00
     787:    196.208826  11.00
     788:    196.208826  11.00
     789:    307.481277  13.00
     790:    307.481277  13.00
     791:    307.481277  13.00
     792:    307.481277  13.00
     793:    307.481277  13.00
     794:    307.481277  13.00
     795:    307.481277  13.00
     796:    307.481277  13.00
     797:    307.481277  13.00
     798:    307.481277  13.00
     799:    307.481277  13.00
     800:    307.481277  13.00
     801:    307.481277  13.00
     802:    329.449823  11.00
     803:    329.449823  11.00
     804:    329.449823  11.00
     805:    329.449823  11.00
     806:    329.449823  11.00
     807:    329.449823  11.00
     808:    329.449823  11.00
     809:    329.449823  11.00
     810:    329.449823  11.00
     811:    329.449823  11.00
     812:    329.449823  11.00
     813:    390.447489  13.00
     814:    390.447489  13.00
     815:    390.447489  13.00
     816:    390.447489  13.00
     817:    390.447489  13.00
     818:    390.447489  13.00
     819:    390.447489  13.00
     820:    390.447489  13.00
     821:    390.447489  13.00
     822:    390.447489  13.00
     823:    390.447489  13.00
     824:    390.447489  13.00
     825:    390.447489  13.00
     826:    454.547544  11.00
     827:    454.547544  11.00
     828:    454.547544  11.00
     829:    454.547544  11.00
     830:    454.547544  11.00
     831:    454.547544  11.00
     832:    454.547544  11.00
     833:    454.547544  11.00
     834:    454.547544  11.00
     835:    454.547544  11.00
     836:    454.547544  11.00
     837:    472.586160  13.00
     838:    472.586160  13.00
     839:    472.586160  13.00
     840:    472.586160  13.00
     841:    472.586160  13.00
     842:    472.586160  13.00
     843:    472.586160  13.00
     844:    472.586160  13.00
     845:    472.586160  13.00
     846:    472.586160  13.00
     847:    472.586160  13.00
     848:    472.586160  13.00
     849:    472.586160  13.00
     850:    607.760989  13.00
     851:    607.760989  13.00
     852:    607.760989  13.00
     853:    607.760989  13.00
     854:    607.760989  13.00
     855:    607.760989  13.00
     856:    607.760989  13.00
     857:    607.760989  13.00
     858:    607.760989  13.00
     859:    607.760989  13.00
     860:    607.760989  13.00
     861:    607.760989  13.00
     862:    607.760989  13.00
     863:    718.259096  13.00
     864:    718.259096  13.00
     865:    718.259096  13.00
     866:    718.259096  13.00
     867:    718.259096  13.00
     868:    718.259096  13.00
     869:    718.259096  13.00
     870:    718.259096  13.00
     871:    718.259096  13.00
     872:    718.259096  13.00
     873:    718.259096  13.00
     874:    718.259096  13.00
     875:    718.259096  13.00
     876:    845.924003  13.00
     877:    845.924003  13.00
     878:    845.924003  13.00
     879:    845.924003  13.00
     880:    845.924003  13.00
     881:    845.924003  13.00
     882:    845.924003  13.00
     883:    845.924003  13.00
     884:    845.924003  13.00
     885:    845.924003  13.00
     886:    845.924003  13.00
